source,target,count
audio_tok_3,audio_tok_7,11
audio_tok_7,audio_tok_3,7
audio_tok_7,audio_tok_4,12
audio_tok_4,audio_tok_3,24
audio_tok_3,audio_tok_2,20
audio_tok_2,audio_tok_4,9
audio_tok_4,audio_tok_7,12
audio_tok_3,audio_tok_0,35
audio_tok_0,audio_tok_4,2
audio_tok_4,audio_tok_0,3
audio_tok_0,audio_tok_7,58
audio_tok_7,audio_tok_0,59
audio_tok_0,audio_tok_3,40
audio_tok_7,audio_tok_2,24
audio_tok_2,audio_tok_7,18
audio_tok_3,audio_tok_1,38
audio_tok_1,audio_tok_2,145
audio_tok_2,audio_tok_3,15
audio_tok_3,audio_tok_4,22
audio_tok_2,audio_tok_1,132
audio_tok_1,audio_tok_7,13
audio_tok_1,audio_tok_0,223
audio_tok_0,audio_tok_1,237
audio_tok_4,audio_tok_2,6
audio_tok_0,audio_tok_2,77
audio_tok_1,audio_tok_3,40
audio_tok_2,audio_tok_0,95
audio_tok_1,audio_tok_4,2
audio_tok_1,audio_tok_5,10
audio_tok_5,audio_tok_0,1
audio_tok_2,audio_tok_5,12
audio_tok_5,audio_tok_7,4
audio_tok_7,audio_tok_1,11
audio_tok_7,audio_tok_5,3
audio_tok_5,audio_tok_1,14
audio_tok_5,audio_tok_2,9
audio_tok_5,audio_tok_4,5
audio_tok_4,audio_tok_5,6
audio_tok_0,audio_tok_5,2
audio_tok_3,audio_tok_6,1
audio_tok_6,audio_tok_3,1
audio_tok_4,audio_tok_1,1
