modality,src,dst,distance
word,I,最高,0.3733774062470079
word,I,ない,0.3986011833755236
word,I,落ち着く,0.4193440696983059
word,although,不安,0.3331678706189557
word,although,成長,0.450694271383038
word,although,複雑,0.4706015253866128
word,am,混乱,0.0515953452728902
word,am,やめる,0.3001022471140178
word,am,anxious,0.3208002594728616
word,anxious,やめる,0.2607475423914036
word,anxious,am,0.3208002594728616
word,anxious,混乱,0.3241557277727688
word,but,でも,0.315516053448678
word,but,で,0.4158854147256169
word,but,集中,0.5527717723280369
word,calm,rewarding,0.1545553701581181
word,calm,それでも,0.1672195498227707
word,calm,緊張,0.1766423571975446
word,continue,なのに,0.0996130282335484
word,continue,still,0.1810411586828182
word,continue,relieved,0.2053130193636003
word,difficult,なんか,0.0809299724852318
word,difficult,止まる,0.2265131153191623
word,difficult,okay,0.240516785757108
word,even,keep,0.3728005602162985
word,even,楽しい,0.5751623809652955
word,even,難しい,0.6007559713100373
word,fun,いい,0.0774153573101405
word,fun,進む,0.1376012999260456
word,fun,最高,0.247922761186494
word,going,それでも,0.1479983414028738
word,going,緊張,0.2004134700221318
word,going,calm,0.2436907643088837
word,happy,続ける,0.219081232691524
word,happy,悲しい,0.3497542439434456
word,happy,quit,0.4107581256724622
word,hard,も,0.1947440792796191
word,hard,going,0.2744685363276467
word,hard,それでも,0.3822944526148056
word,however,最悪,0.005718949599425
word,however,どちら,0.3221441056164941
word,however,is,0.3287958771226916
word,interesting,少し,0.3314244246541801
word,interesting,to,0.3884182824280159
word,interesting,集中,0.4758732213501129
word,is,どちら,0.0984615151889776
word,is,最悪,0.3233506083033018
word,is,however,0.3287958771226916
word,keep,even,0.3728005602162985
word,keep,難しい,0.4011314607789928
word,keep,楽しい,0.4199943798508035
word,motivated,前向き,0.1826145393679704
word,motivated,therefore,0.3444188895030692
word,motivated,to,0.481652160592328
word,okay,止まる,0.0650339583356351
word,okay,なんか,0.2283489306510668
word,okay,difficult,0.240516785757108
word,painful,therefore,0.1606264639412594
word,painful,は,0.1981487629160025
word,painful,前向き,0.353233132320417
word,quit,悲しい,0.1219718410256164
word,quit,sad,0.128582240500131
word,quit,though,0.2337727994734237
word,relieved,なのに,0.1786997981662826
word,relieved,continue,0.2053130193636003
word,relieved,still,0.2178154059967448
word,research,なんか,0.2941879282391232
word,research,difficult,0.3056705876679046
word,research,anxious,0.4327136648927144
word,rewarding,calm,0.1545553701581181
word,rewarding,緊張,0.2238242697122726
word,rewarding,微妙,0.2305860118504817
word,sad,though,0.109966908112281
word,sad,quit,0.128582240500131
word,sad,悲しい,0.1407776143972671
word,so,集中,0.2406597016558475
word,so,でも,0.3512533116308897
word,so,挑戦,0.4599234478249186
word,still,continue,0.1810411586828182
word,still,relieved,0.2178154059967448
word,still,なのに,0.2554472583793079
word,therefore,painful,0.1606264639412594
word,therefore,前向き,0.2194851442558496
word,therefore,は,0.2695719140779177
word,though,sad,0.109966908112281
word,though,疲れる,0.1891662985044462
word,though,逃げる,0.2040246383010983
word,tired,研究,0.0271986314802123
word,tired,どちら,0.2818816886321086
word,tired,is,0.3776481809850391
word,to,少し,0.0781745586294781
word,to,する,0.3310602110593593
word,to,interesting,0.3884182824280159
word,want,言え,0.3653746948216871
word,want,逃げる,0.5022128014157593
word,want,difficult,0.5286846123296294
word,いい,fun,0.0774153573101405
word,いい,進む,0.1700366780174455
word,いい,最高,0.2297389603324808
word,けど,落ち着く,0.1401977822897134
word,けど,つまり,0.2394502268549077
word,けど,複雑,0.2445379576298649
word,しかし,最高,0.2293859601306376
word,しかし,で,0.3243595874135273
word,しかし,続ける,0.4054080587099903
word,する,私,0.1354699773309938
word,する,to,0.3310602110593593
word,する,少し,0.383636454183167
word,それでも,緊張,0.0535980311785012
word,それでも,going,0.1479983414028738
word,それでも,calm,0.1672195498227707
word,だから,迷う,0.0771870086867439
word,だから,面白い,0.1779712023600912
word,だから,むしろ,0.3142406558412022
word,ちょっと,進む,0.195947605683371
word,ちょっと,今日,0.3037197727875332
word,ちょっと,fun,0.3099961862027751
word,つまり,複雑,0.1888695448553388
word,つまり,けど,0.2394502268549077
word,つまり,落ち着く,0.2910649936181111
word,で,でも,0.297094599865595
word,で,しかし,0.3243595874135273
word,で,but,0.4158854147256169
word,でも,で,0.297094599865595
word,でも,but,0.315516053448678
word,でも,so,0.3512533116308897
word,どちら,is,0.0984615151889776
word,どちら,研究,0.2765656963261818
word,どちら,tired,0.2818816886321086
word,ない,quit,0.3724525493776956
word,ない,I,0.3986011833755236
word,ない,落ち着く,0.3990218274478819
word,なのに,continue,0.0996130282335484
word,なのに,relieved,0.1786997981662826
word,なのに,still,0.2554472583793079
word,なんか,difficult,0.0809299724852318
word,なんか,okay,0.2283489306510668
word,なんか,止まる,0.236905366815264
word,は,painful,0.1981487629160025
word,は,普通,0.2328523039390428
word,は,therefore,0.2695719140779177
word,むしろ,面白い,0.225631503229924
word,むしろ,迷う,0.2779960960489002
word,むしろ,だから,0.3142406558412022
word,めっちゃ,面白い,0.2032733657573537
word,めっちゃ,迷う,0.2585934859906308
word,めっちゃ,だから,0.3275095589658199
word,も,hard,0.1947440792796191
word,も,going,0.3158123250709999
word,も,それでも,0.3475985155975141
word,やめる,anxious,0.2607475423914036
word,やめる,am,0.3001022471140178
word,やめる,混乱,0.3404267024987698
word,一方,混乱,0.3244874102943877
word,一方,am,0.3752693863653054
word,一方,安心,0.3994356410108615
word,不安,複雑,0.2917796909490286
word,不安,although,0.3331678706189557
word,不安,けど,0.3537139619909289
word,今日,ちょっと,0.3037197727875332
word,今日,挑戦,0.3481630956554407
word,今日,進む,0.4663320672504102
word,前向き,motivated,0.1826145393679704
word,前向き,therefore,0.2194851442558496
word,前向き,painful,0.353233132320417
word,嬉しい,成長,0.1096105043729933
word,嬉しい,めっちゃ,0.544004530614781
word,嬉しい,although,0.5466035490366028
word,安心,なんか,0.3175681021877572
word,安心,anxious,0.3588732828584863
word,安心,okay,0.3829098757387447
word,少し,to,0.0781745586294781
word,少し,interesting,0.3314244246541801
word,少し,する,0.383636454183167
word,微妙,calm,0.1919936105695092
word,微妙,rewarding,0.2305860118504817
word,微妙,それでも,0.357300871130059
word,悲しい,quit,0.1219718410256164
word,悲しい,sad,0.1407776143972671
word,悲しい,though,0.2408726579507189
word,成長,嬉しい,0.1096105043729933
word,成長,although,0.450694271383038
word,成長,めっちゃ,0.6269957495148021
word,挑戦,今日,0.3481630956554407
word,挑戦,so,0.4599234478249186
word,挑戦,is,0.5373662921547377
word,普通,難しい,0.170151248103404
word,普通,楽しい,0.2252092884332915
word,普通,は,0.2328523039390428
word,最悪,however,0.005718949599425
word,最悪,どちら,0.3165041161121105
word,最悪,is,0.3233506083033018
word,最高,しかし,0.2293859601306376
word,最高,いい,0.2297389603324808
word,最高,fun,0.247922761186494
word,楽しい,難しい,0.0675428859793471
word,楽しい,普通,0.2252092884332915
word,楽しい,は,0.2803456581475227
word,止まる,okay,0.0650339583356351
word,止まる,difficult,0.2265131153191623
word,止まる,なんか,0.236905366815264
word,混乱,am,0.0515953452728902
word,混乱,anxious,0.3241557277727688
word,混乱,一方,0.3244874102943877
word,疲れる,頑張る,0.1188398791544683
word,疲れる,though,0.1891662985044462
word,疲れる,sad,0.2343161454471003
word,研究,tired,0.0271986314802123
word,研究,どちら,0.2765656963261818
word,研究,is,0.370700007828456
word,私,する,0.1354699773309938
word,私,rewarding,0.2878871906731907
word,私,緊張,0.3576253517507525
word,続ける,happy,0.219081232691524
word,続ける,しかし,0.4054080587099903
word,続ける,I,0.4945665793109691
word,緊張,それでも,0.0535980311785012
word,緊張,calm,0.1766423571975446
word,緊張,going,0.2004134700221318
word,苦しい,前向き,0.4754607799170152
word,苦しい,する,0.5284389611148844
word,苦しい,motivated,0.5677257083502247
word,落ち着く,けど,0.1401977822897134
word,落ち着く,つまり,0.2910649936181111
word,落ち着く,複雑,0.3652369547923353
word,複雑,つまり,0.1888695448553388
word,複雑,けど,0.2445379576298649
word,複雑,不安,0.2917796909490286
word,言え,逃げる,0.3295483274642619
word,言え,want,0.3653746948216871
word,言え,疲れる,0.4241160602857048
word,諦める,普通,0.241237070105118
word,諦める,難しい,0.3456430286253473
word,諦める,やめる,0.3783175013499875
word,迷う,だから,0.0771870086867439
word,迷う,面白い,0.1032385197667561
word,迷う,めっちゃ,0.2585934859906308
word,逃げる,though,0.2040246383010983
word,逃げる,sad,0.3050438296272028
word,逃げる,疲れる,0.3152156250327524
word,進む,fun,0.1376012999260456
word,進む,いい,0.1700366780174455
word,進む,ちょっと,0.195947605683371
word,集中,so,0.2406597016558475
word,集中,でも,0.3985836492015762
word,集中,interesting,0.4758732213501129
word,難しい,楽しい,0.0675428859793471
word,難しい,普通,0.170151248103404
word,難しい,は,0.2809032739852157
word,面白い,迷う,0.1032385197667561
word,面白い,だから,0.1779712023600912
word,面白い,めっちゃ,0.2032733657573537
word,頑張る,疲れる,0.1188398791544683
word,頑張る,relieved,0.2649467418720778
word,頑張る,though,0.2994098690107551
music,audio_tok_3,audio_tok_4,0.8058248319162392
music,audio_tok_3,audio_tok_6,0.8959359044993226
music,audio_tok_3,audio_tok_5,1.3365998033140325
music,audio_tok_7,audio_tok_0,1.1130848417448027
music,audio_tok_7,audio_tok_2,1.123895281884051
music,audio_tok_7,audio_tok_1,1.520929817550174
music,audio_tok_4,audio_tok_3,0.8058248319162392
music,audio_tok_4,audio_tok_1,0.8073338325703991
music,audio_tok_4,audio_tok_5,0.8591702956020617
music,audio_tok_2,audio_tok_0,0.4302375758989059
music,audio_tok_2,audio_tok_7,1.123895281884051
music,audio_tok_2,audio_tok_3,1.6245085389339795
music,audio_tok_0,audio_tok_2,0.4302375758989059
music,audio_tok_0,audio_tok_7,1.1130848417448027
music,audio_tok_0,audio_tok_5,1.6517907790995194
music,audio_tok_1,audio_tok_5,0.5355555203463753
music,audio_tok_1,audio_tok_4,0.8073338325703991
music,audio_tok_1,audio_tok_6,1.4266412036080096
music,audio_tok_5,audio_tok_1,0.5355555203463753
music,audio_tok_5,audio_tok_4,0.8591702956020617
music,audio_tok_5,audio_tok_3,1.3365998033140325
music,audio_tok_6,audio_tok_3,0.8959359044993226
music,audio_tok_6,audio_tok_4,0.9645666363803784
music,audio_tok_6,audio_tok_1,1.4266412036080096
video,video_tok_0,video_tok_1,1.0225178650385611
video,video_tok_0,video_tok_3,1.207971406494179
video,video_tok_0,video_tok_7,1.4081003414365771
video,video_tok_5,video_tok_6,1.0147107083155946
video,video_tok_5,video_tok_2,1.085853438766591
video,video_tok_5,video_tok_4,1.4552830824319174
video,video_tok_3,video_tok_4,0.5603520810360185
video,video_tok_3,video_tok_7,0.7761476932851845
video,video_tok_3,video_tok_1,1.123509194627361
video,video_tok_2,video_tok_6,0.5916699450519253
video,video_tok_2,video_tok_5,1.085853438766591
video,video_tok_2,video_tok_0,1.4707066750146371
video,video_tok_6,video_tok_2,0.5916699450519253
video,video_tok_6,video_tok_5,1.0147107083155946
video,video_tok_6,video_tok_7,1.59345362196136
video,video_tok_4,video_tok_3,0.5603520810360185
video,video_tok_4,video_tok_7,0.8157085366751039
video,video_tok_4,video_tok_1,1.3208271306142367
video,video_tok_7,video_tok_3,0.7761476932851845
video,video_tok_7,video_tok_4,0.8157085366751039
video,video_tok_7,video_tok_0,1.4081003414365771
video,video_tok_1,video_tok_0,1.0225178650385611
video,video_tok_1,video_tok_3,1.123509194627361
video,video_tok_1,video_tok_4,1.3208271306142367
