modality,node,count
word,I,12
word,although,1
word,am,9
word,anxious,1
word,but,14
word,calm,1
word,continue,1
word,difficult,2
word,even,1
word,fun,2
word,going,1
word,happy,3
word,hard,2
word,however,2
word,interesting,2
word,is,6
word,keep,1
word,motivated,1
word,okay,1
word,painful,1
word,quit,1
word,relieved,1
word,research,6
word,rewarding,1
word,sad,3
word,so,1
word,still,1
word,therefore,1
word,though,1
word,tired,4
word,to,2
word,want,2
word,いい,1
word,けど,9
word,しかし,1
word,する,3
word,それでも,1
word,だから,1
word,ちょっと,1
word,つまり,1
word,で,2
word,でも,1
word,どちら,1
word,ない,2
word,なのに,1
word,なんか,1
word,は,22
word,むしろ,1
word,めっちゃ,2
word,も,1
word,やめる,1
word,一方,1
word,不安,1
word,今日,9
word,前向き,1
word,嬉しい,4
word,安心,2
word,少し,1
word,微妙,1
word,悲しい,6
word,成長,1
word,挑戦,1
word,普通,1
word,最悪,1
word,最高,1
word,楽しい,7
word,止まる,1
word,混乱,1
word,疲れる,4
word,研究,7
word,私,6
word,続ける,1
word,緊張,1
word,苦しい,5
word,落ち着く,1
word,複雑,1
word,言え,1
word,諦める,1
word,迷う,1
word,逃げる,1
word,進む,1
word,集中,1
word,難しい,3
word,面白い,2
word,頑張る,2
music,audio_tok_0,1107
music,audio_tok_1,1288
music,audio_tok_2,1011
music,audio_tok_3,718
music,audio_tok_4,362
music,audio_tok_5,272
music,audio_tok_6,59
music,audio_tok_7,811
video,video_tok_0,226
video,video_tok_1,6
video,video_tok_2,72
video,video_tok_3,168
video,video_tok_4,1
video,video_tok_5,144
video,video_tok_6,1
video,video_tok_7,1
