modality,source,target,count
music,audio_tok_3,audio_tok_7,11
music,audio_tok_7,audio_tok_3,7
music,audio_tok_7,audio_tok_4,12
music,audio_tok_4,audio_tok_3,24
music,audio_tok_3,audio_tok_2,20
music,audio_tok_2,audio_tok_4,9
music,audio_tok_4,audio_tok_7,12
music,audio_tok_3,audio_tok_0,35
music,audio_tok_0,audio_tok_4,2
music,audio_tok_4,audio_tok_0,3
music,audio_tok_0,audio_tok_7,58
music,audio_tok_7,audio_tok_0,59
music,audio_tok_0,audio_tok_3,40
music,audio_tok_7,audio_tok_2,24
music,audio_tok_2,audio_tok_7,18
music,audio_tok_3,audio_tok_1,38
music,audio_tok_1,audio_tok_2,145
music,audio_tok_2,audio_tok_3,15
music,audio_tok_3,audio_tok_4,22
music,audio_tok_2,audio_tok_1,132
music,audio_tok_1,audio_tok_7,13
music,audio_tok_1,audio_tok_0,223
music,audio_tok_0,audio_tok_1,237
music,audio_tok_4,audio_tok_2,6
music,audio_tok_0,audio_tok_2,77
music,audio_tok_1,audio_tok_3,40
music,audio_tok_2,audio_tok_0,95
music,audio_tok_1,audio_tok_4,2
music,audio_tok_1,audio_tok_5,10
music,audio_tok_5,audio_tok_0,1
music,audio_tok_2,audio_tok_5,12
music,audio_tok_5,audio_tok_7,4
music,audio_tok_7,audio_tok_1,11
music,audio_tok_7,audio_tok_5,3
music,audio_tok_5,audio_tok_1,14
music,audio_tok_5,audio_tok_2,9
music,audio_tok_5,audio_tok_4,5
music,audio_tok_4,audio_tok_5,6
music,audio_tok_0,audio_tok_5,2
music,audio_tok_3,audio_tok_6,1
music,audio_tok_6,audio_tok_3,1
music,audio_tok_4,audio_tok_1,1
video,video_tok_0,video_tok_5,2
video,video_tok_5,video_tok_0,1
video,video_tok_0,video_tok_3,3
video,video_tok_3,video_tok_0,3
video,video_tok_5,video_tok_3,1
video,video_tok_3,video_tok_2,1
video,video_tok_2,video_tok_6,1
video,video_tok_6,video_tok_4,1
video,video_tok_4,video_tok_7,1
video,video_tok_7,video_tok_1,1
